label,from,to
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_user_selected
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_display
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_version
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_code
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_system
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_value
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_comparator
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_unit
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_system
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_code
label,from,to
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_user_selected
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_display
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_version
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_code
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_system
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_value
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_comparator
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_unit
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_system
HAS_DATA_TYPE_PROPERTY,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_code
